unix_time,dt,open,high,low,close,size
1552644960,2019-03-15 19:16:00,427506,427647,427489,427514,155.14810151
1552645020,2019-03-15 19:17:00,427503,427559,427479,427509,104.36650158
1552645080,2019-03-15 19:18:00,427509,427541,427420,427529,84.12996489
1552645140,2019-03-15 19:19:00,427528,427640,427499,427603,57.8397932
1552645200,2019-03-15 19:20:00,427613,427640,427554,427575,49.98564903
1552645260,2019-03-15 19:21:00,427580,427613,427511,427515,50.6899694
1552645320,2019-03-15 19:22:00,427524,427525,427454,427485,55.64314537
1552645380,2019-03-15 19:23:00,427495,427551,427320,427500,69.31093069
1552645440,2019-03-15 19:24:00,427493,427504,427230,427452,184.98890966
1552645500,2019-03-15 19:25:00,427445,427532,427419,427472,146.17722306
1552645560,2019-03-15 19:26:00,427488,427516,427400,427407,70.78327403
1552645620,2019-03-15 19:27:00,427425,427500,427417,427492,53.51424637
1552645680,2019-03-15 19:28:00,427492,427527,427466,427510,62.34270462
1552645740,2019-03-15 19:29:00,427502,427543,427469,427511,52.25724067
1552645800,2019-03-15 19:30:00,427511,427662,427451,427567,117.63287906
1552645860,2019-03-15 19:31:00,427594,427650,427533,427601,61.33191957
1552645920,2019-03-15 19:32:00,427598,427776,427594,427701,166.795941
1552645980,2019-03-15 19:33:00,427707,427756,427650,427652,76.75030915
1552646040,2019-03-15 19:34:00,427677,427771,427650,427755,77.86739419
1552646100,2019-03-15 19:35:00,427762,427820,427732,427762,83.52905945
1552646160,2019-03-15 19:36:00,427743,427840,427734,427809,130.03325243
1552646220,2019-03-15 19:37:00,427793,427826,427710,427782,97.4633929
1552646280,2019-03-15 19:38:00,427783,427980,427713,427938,180.43017137
1552646340,2019-03-15 19:39:00,427937,427972,427851,427930,108.86032361
1552646400,2019-03-15 19:40:00,427901,427931,427800,427875,91.96194076
1552646460,2019-03-15 19:41:00,427881,427888,427760,427794,54.36970841
1552646520,2019-03-15 19:42:00,427795,427885,427739,427819,137.79552895
1552646580,2019-03-15 19:43:00,427813,427912,427803,427912,119.40236143
1552646640,2019-03-15 19:44:00,427912,427946,427860,427901,102.06117517
1552646700,2019-03-15 19:45:00,427902,428124,427873,428017,171.53312505
